,CPU 1,CPU 2,CPU 3,CPU 4,IO 1,IO 2
0,P1(6), , , , , 
1,P1(5), , , , , 
2,P2(2),P1(4), , , , 
3,P2(1),P1(3), , , , 
4,P1(2),P3(8), , , ,P2(20)
5,P1(1),P3(7), , , ,P2(19)
6,P3(6),P4(48), , ,P1(14),P2(18)
7,P3(5),P4(47), , ,P1(13),P2(17)
8,P3(4),P4(46),P5(60), ,P1(12),P2(16)
9,P3(3),P4(45),P5(59), ,P1(11),P2(15)
10,P3(2),P6(24),P4(44),P5(58),P1(10),P2(14)
11,P3(1),P6(23),P4(43),P5(57),P1(9),P2(13)
12,P6(22),P4(42),P5(56), ,P1(8),P2(12)
13,P6(21),P4(41),P5(55), ,P1(7),P2(11)
14,P6(20),P4(40),P5(54), ,P1(6),P2(10)
15,P6(19),P4(39),P5(53), ,P1(5),P2(9)
16,P6(18),P4(38),P5(52), ,P1(4),P2(8)
17,P6(17),P4(37),P5(51), ,P1(3),P2(7)
18,P6(16),P4(36),P5(50), ,P1(2),P2(6)
19,P6(15),P4(35),P5(49), ,P1(1),P2(5)
20,P1(6),P6(14),P4(34),P5(48), ,P2(4)
21,P1(5),P6(13),P4(33),P5(47), ,P2(3)
22,P1(4),P6(12),P4(32),P5(46), ,P2(2)
23,P1(3),P6(11),P4(31),P5(45), ,P2(1)
24,P1(2),P2(6),P6(10),P4(30), ,P3(10)
25,P1(1),P2(5),P6(9),P4(29), ,P3(9)
26,P2(4),P6(8),P4(28),P5(44),P1(20),P3(8)
27,P2(3),P6(7),P4(27),P5(43),P1(19),P3(7)
28,P2(2),P6(6),P4(26),P5(42),P1(18),P3(6)
29,P2(1),P6(5),P4(25),P5(41),P1(17),P3(5)
30,P6(4),P4(24),P5(40), ,P1(16),P3(4)
31,P6(3),P4(23),P5(39), ,P1(15),P3(3)
32,P6(2),P4(22),P5(38), ,P1(14),P3(2)
33,P6(1),P4(21),P5(37), ,P1(13),P3(1)
34,P3(4),P4(20),P5(36), ,P1(12),P6(18)
35,P3(3),P4(19),P5(35), ,P1(11),P6(17)
36,P3(2),P4(18),P5(34), ,P1(10),P6(16)
37,P3(1),P4(17),P5(33), ,P1(9),P6(15)
38,P4(16),P5(32), , ,P1(8),P6(14)
39,P4(15),P5(31), , ,P1(7),P6(13)
40,P4(14),P5(30), , ,P1(6),P6(12)
41,P4(13),P5(29), , ,P1(5),P6(11)
42,P4(12),P5(28), , ,P1(4),P6(10)
43,P4(11),P5(27), , ,P1(3),P6(9)
44,P4(10),P5(26), , ,P1(2),P6(8)
45,P4(9),P5(25), , ,P1(1),P6(7)
46,P1(2),P4(8),P5(24), ,P2(18),P6(6)
47,P1(1),P4(7),P5(23), ,P2(17),P6(5)
48,P4(6),P5(22), , ,P2(16),P6(4)
